Samplenro,Notebook,Day,Month,DOY,SDOY,Meadow,Site,MeadowSite,Totalflowers,Species,SumOfInsects2,SumOfEffort,InsectDensity,MinOfAchilleamillefolium,MinOfAcinosalpinus,MinOfAconitumnapellus,MinOfAconitumanthora,MinOfAegopodiumpodagraria,MinOfAgrimoniaeupatoria,MinOfAjugareptans,MinOfAjugapyramidalis,MinOfAlchemillasp,MinOfAlliumcarinatum,MinOfAnacamptispyramidalis,MinOfAnemonenarcissiflora,MinOfAnthericumramosum,MinOfAnthyllisvulneraria,MinOfApiaceaesp,MinOfArabis/Arabidopsis,MinOfArenaria/Linumym,MinOfArnicamontana,MinOfAsperulacynanchica,MinOfAsteramellus,MinOfAsterbellidiastrum,MinOfAtrobabelladonna,MinOfBellisperennis,MinOfBistortavivipara,MinOfBuphthalmumsalicifolium,MinOfCarumcarvi,MinOfClinopodiumvulgare,MinOfCampanulaglomerata,MinOfCampanulasp,MinOfCapsellabursa-pastoris,MinOfCarduusdefloratus,MinOfCarduusnutans,MinOfCarlinaacaulis,MinOfCarlinavulgaris,MinOfCentaureasp,MinOfCentauriumsp,MinOfCephalantheralongifolia,MinOfCerastiumsp,MinOfChenopodiumsp,MinOfCichoriumintybus,MinOfCirsiumarvense,MinOfCirsiumacaule,MinOfCoeglossumviride,MinOfConyzasp,MinOfConvolvulusarvensis,MinOfCrepissp,MinOfCrepissp2,MinOfCrepis/Hieracium,MinOfCrepis/Hieracium/Leontodon,MinOfCuscutaeuropaeae,MinOfDaucuscarota,MinOfDianthussp,MinOfEchiumvulgare,MinOfEpilobiumsp,MinOfEuphrasiasp,MinOfEuphorbiacyparissias,MinOfFragariasp,MinOfGaliumverum,MinOfGaliumsp,MinOfGentianasp,MinOfGentianaverna,MinOfGeraniumsylvaticum,MinOfGeraniumpusillum,MinOfGeraniumsanguineum?,MinOfGeraniumsp,MinOfGlobularianudicaulis,MinOfGlobulariacardiflora,MinOfGymnadeniaconopsea,MinOfHelianthemumnummularium,MinOfHieraciumpilosella,MinOfHippocrepiscomosa,MinOfHypericumsp,MinOfKnautia/Scabiosa,MinOfLamiumalbum,MinOfLathyruspratensis,MinOfLathyrussp,MinOfLeucanthemumvulgare,MinOfLigustrumvulgare,MinOfLotuscorniculatus,MinOfLotusmaritimus,MinOfMaianthemumbifolium,MinOfMalvaneglecta,MinOfMedicagolupulina,MinOfMedicagominima,MinOfMedicagosativa,MinOfMelampyrumsylvaticum,MinOfMycelismuralis,MinOfMyosotessp,MinOfNeottiaovata,MinOfOdontitesluteus,MinOfOnobrychisvicifolia,MinOfOnonisspinosa,MinOfOphrusapifera,MinOfOphrusinsectifera,MinOfOrchismascula,MinOfOrchisustulata,MinOfOriganumvulgare,MinOfParnassiapalustris,MinOfPastinacasativa,MinOfPeucedanumsp,MinOfPhyteumaorbiculare,MinOfPimpinellasp,MinOfPlantagolanceolata,MinOfPlantagomajor,MinOfPlantagomedia,MinOfPlantherabifolia,MinOfPlatantherachlorantha,MinOfPolygalaalpestris,MinOfPolygalacomosa,MinOfPolygalavulgaris,MinOfPolygonumaviculare,MinOfPotentillaerecta,MinOfPotentillasp,MinOfPrimulaveris,MinOfPrunellasp,MinOfPulsatillasp,MinOfRanunculussp,MinOfRhinanthusminor,MinOfResedalutea,MinOfRosasp,MinOfRubussp,MinOfRumexsp,MinOfSalviapratensis,MinOfSambucussp,MinOfSanguisorbaminor,MinOfSaponariaocymoides?,MinOfSedumspyellow,MinOfSedumalbum,MinOfSeneciosp,MinOfSilenedioica,MinOfSilenenutans,MinOfSilenevulgaris,MinOfSisymbriumofficinale,MinOfSolanumdulgamara,MinOfSolidagovirgaurea,MinOfSpiranthesspiralis,MinOfStachysofficinalis,MinOfStachysrecta,MinOfTaraxacumsp,MinOfTeucriumchamaedris,MinOfTeuriummontanum,MinOfThesiumsp,MinOfThymussp,MinOfTragopodonpratensis,MinOfTrifoliumcampestre,MinOfTrifoliumbadium,MinOfTrifoliummontana,MinOfTrifoliumpratense,MinOfTrifoliumrepens,MinOfTrolleiseuropaeus,MinOfUrticadioica,MinOfVacciniumvitis-idaea,MinOfValeriana,MinOfVerbenaofficinalis,MinOfVeronicachamaedris,MinOfVeronicaofficinalis,MinOfVeronicaspicata,MinOfVeronicateucrium,MinOfVeronicasp,MinOfViciacracca,MinOfViciasepium,MinOfVincetoxicumhirundinaria,MinOfViolasp,MinOfSpecies,MinOfSumOfCowfeces,MinOfSumOfBareground,MinOfSumOfRock,MinOfSumOfBryophytes,MinOfSumOfLitter,MinOfelevation,Selevation,ElevationKM,MinOfColeoptera,MinOfColeopteraBuprestidae,MinOfColeopteraCantharidae,MinOfColeopteraCerambycidae,MinOfColeopteraCetonidae,MinOfColeopteraChrysomelidae,MinOfColeopteraCleridae,MinOfColeopteraMalachiidae,MinOfColeopteraMeloidae,MinOfColeopteraMelyridae,MinOfColeopteraMordellidae,MinOfColeopteraOedemeridae,MinOfColeopteraScarabidae,MinOfColeopteraTenebrionidae,MinOfDiptera,MinOfDipteraAsilidae,MinOfDipteraBibinionidae,MinOfDipteraCalliphoridae,MinOfDipteraConopsidae,MinOfDipteraBombylidae,MinOfDipteraEmpididae,MinOfDipteraMuscidae,MinOfDipteraSarcophagidae,MinOfDipteraSyrphidae,MinOfDipteraTachinidae,MinOfDipteraTephritidae,MinOfHymenoptera,MinOfHymenopteraApidae,MinOfHymenopteraBraconidae,MinOfHymenopteraChrysidae,MinOfHymenopteraFormicidae,MinOfHymenopteraIchneumonidae,MinOfHymenopteraLeucospidae,MinOfHymenopteraPompelinidae,MinOfHymenopteraSpecidae,MinOfHymenopteraSphecidae,MinOfHymenopteraTenthredinidae,MinOfHymenopteraVespidae,MinOfRaphidioptera,InsectsPerFlower,MinOfTemperature,MinOfSumOfEffort,ColeopteraDensity,ColeopteraBuprestidaeDensity,ColeopteraCantharidaeDensity,ColeopteraCerambycidaeDensity,ColeopteraCetonidaeDensity,ColeopteraChrysomelidaeDensity,ColeopteraCleridaeDensity,ColeopteraMalachiidaeDensity,ColeopteraMeloidaeDensity,ColeopteraMelyridaeDensity,ColeopteraMordellidaeDensity,ColeopteraOedemeridaeDensity,ColeopteraScarabidaeDensity,ColeopteraTenebrionidaeDensity,DipteraDensity,DipteraAsilidaeDensity,DipteraBibinionidaeDensity,DipteraCalliphoridaeDensity,DipteraConopsidaeDensity,DipteraBombylidaeDensity,DipteraEmpididaeDensity,DipteraMuscidaeDensity,DipteraSarcophagidaeDensity,DipteraSyrphidaeDensity,DipteraTachinidaeDensity,DipteraTephritidaeDensity,HymenopteraDensity,HymenopteraApidaeDensity,HymenopteraBraconidaeDensity,HymenopteraChrysidaeDensity,HymenopteraFormicidaeDensity,HymenopteraIchneumonidaeDensity,HymenopteraLeucospidaeDensity,HymenopteraPompelinidaeDensity,HymenopteraSpecidaeDensity,HymenopteraSphecidaeDensity,HymenopteraTenthredinidaeDensity,HymenopteraVespidaeDensity,RaphidiopteraDensity
1,1,10,6,161,0.778225342,i,3,i3,2077,24,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,200,0,0,0,0,0,400,0,0,100,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,0,10,2,0,0,600,0,0,0,0,0,100,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,150,10,5,0,0,0,0,0,20,0,0,0,20,0,0,0,0,45,0.05,18.6,0,0.05,10.5,711.5,0.649078436,0.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,11,6,162,0.78305904,i,4,i4,6048,21,,,,1,,,,,,,,,,,,,,,20,4000,,,,,,100,,,,,,,10,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,10,50,,,,,,,,,100,,,,10,,,,,,,,5,,,,,,,,,,,,,,30,,,,,,,,,,,,1200,,,,,,120,,1,,,,,,,10,150,,,,,,10,,,,,,,,100,,,,,,,,,,,,51,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,11,6,162,0.78305904,i,5,i5,2227,22,,,,,,,,,,,,,,,,,2,,10,100,,200,,,,50,,,,,,,,,,,,,,,200,,,,,,,,,,,5,,,,,,,,,,,,,,,,,200,,,60,50,30,,,,,,,,300,10,,,,10,,,,,,,,,,,,,,,,,,,,,40,,,,20,,,20,,,,,300,,,,,,80,,,,30,,,,,,,,,,,,,,,,,,,,500,10,,,,,,,,,,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,12,6,163,0.787892738,i,2,i2,1302,20,,,,,,,,,,,,,,,,,2,,2,,,400,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,,,,,200,,,100,5,200,,,,,,,,100,20,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,20,,,2,,,,,20,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,56,1.2,20.2,0,0,25.8,737.4,0.672706168,0.7374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,12,6,163,0.787892738,i,1,i1,1814,26,,,,,,,,,,,,,,,,,,,1,,,1000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,80,,,50,5,150,,,,5,,,,50,100,,,20,,,,,,,,,,1,,,,,,,,,,,,,,,,50,,,,80,,3,,30,,,,,,5,,4,10,,,,,,10,,,,,,,,,,,,,,,80,,,,50,,,,,,,,,,1,3,,44,0.7,25.8,0,0,22.3,766.3,0.699070703,0.7663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,12,6,163,0.787892738,i,7,i7,1636,22,,,,,,,,,,,,,,,,,,,,40,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,2,70,,,200,200,300,,1,,,,,,100,20,,,,200,,,,,,,,,,,,,,,,,,,,,10,,1,,100,,,,,,10,,20,,,,,,60,,30,,,,,,,,,,,,,,,,,1,,,,,50,,,,,,,,,,,,,,,1,,57,0.15,41.5,0.6,0.1,17.2,648.5,0.591605574,0.6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,13,6,164,0.792726436,i,6,i6,1278,28,,,,,,,,,,,,,,1,,,,,1,,,50,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,200,,,200,100,40,,1,,1,,,2,400,50,,,,,,,,,,,,,,,,,,,,,,,5,,10,,,,50,5,,1,,,,,20,,,,,,5,,,,,,,,,10,,10,,,,,,,,1,,,,,100,,,,,,,,,,,,,1,,,1,58,1.5,33.8,0.7,0,21,702.2,0.640594347,0.7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,13,6,164,0.792726436,a,1,a1,1341,22,,,,,,,,,,,,,,,,,,,20,100,,200,,,,20,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,10,,,,,,,,100,50,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,10,,40,,,,20,,,10,,,5,,50,,,10,,,50,,,,,,,,,20,,,,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,61,0.4,6,0,0,29.5,1020.6,0.931060368,1.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,13,6,164,0.792726436,a,6,a6,1972,21,,,,10,,,,,,,,,,,,,,,30,,,600,,,,100,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,40,,,80,100,,,,,,,,,400,,,,30,,,,,,,,,,,,,,,,,,,,30,,50,,,,5,,,10,50,,,,50,,,,,,60,,,,,,,,,3,,,,,,,,,,,,,,,300,3,,,,,,,,,,,,,,,,59,2.5,10.8,0,0,18.7,981.9,0.895755609,0.9819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,17,6,168,0.812061227,a,4,a4,2180,27,,,,1,,,,,,,,,,,,,,,20,,,500,,,,10,,,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,20,,,,,,,,40,2,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,20,,100,,,,,2,,5,10,,,,200,5,,,,,400,,,,,,,,,20,,,,,,,,,,,6,,,,300,,80,,50,,,,5,,,50,,,,5,,55,3.15,11.2,0.15,0,33.2,1002.8,0.914822003,1.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
