Meadow,Site,VegetativeSpecies,Cowfeces,Bareground,Rock,Bryophytes,Litter,elevation,PhenologySpeciesAverage,PhenologyTotalFlowers,PhenologySpecies,PhenologyInsects2,PhenologyEffort,PhenologyAchilleamillefolium,PhenologyCampanulasp,PhenologyCrepisHieraciumLeontodon,PhenologyGaliumverum,PhenologyHelianthemumnummularium,PhenologyKnautiaScabiosa,PhenologyLeucanthemumvulgare,PhenologyLotuscorniculatus,PhenologyPlantagolanceolata,PhenologyPlantagomedia,PhenologyPrunellasp,PhenologyRanunculussp,PhenologySilenevulgaris,PhenologyThymussp,PhenologyTrifoliummontana,PhenologyTrifoliumpratense,PhenologyCentaureasp,PhenologyHieraciumpilosella,PhenologyPotentillaerecta,PhenologyEuphrasiasp,PhenologyHypericumsp,PhenologyMedicagolupulina,PhenologyPotentillasp,PhenologyTrifoliumrepens,PhenologyArabisArabidopsis,PhenologyCerastiumsp,PhenologyCirsiumacaule,PhenologyTeucriumchamaedris,PhenologyArenariaLinumym,PhenologyAsperulacynanchica,PhenologyCarumcarvi,PhenologyClinopodiumvulgare,PhenologyCampanulaglomerata,PhenologyCarlinaacaulis,PhenologyDaucuscarota,PhenologyEchiumvulgare,PhenologyGaliumsp,PhenologyHippocrepiscomosa,PhenologyLathyruspratensis,PhenologyOnonisspinosa,PhenologySalviapratensis,PhenologyBellisperennis,PhenologyPeucedanumsp,PhenologyPimpinellasp,PhenologyOrchisustulata,PhenologyAcinosalpinus,PhenologyAnthyllisvulneraria,PhenologyMedicagosativa,PhenologyTeuriummontanum,PhenologyAgrimoniaeupatoria,PhenologyCrepisHieracium,PhenologyPolygalacomosa,PhenologyVeronicaspicata,PhenologyTaraxacumsp,PhenologyVeronicachamaedris,PhenologyBuphthalmumsalicifolium,PhenologyCirsiumarvense,PhenologyGeraniumsp,PhenologyViciacracca,PhenologyAlchemillasp,PhenologyCarduusdefloratus,PhenologyEuphorbiacyparissias,PhenologyGlobularianudicaulis,PhenologyLotusmaritimus,PhenologyPolygonumaviculare,PhenologyRosasp,PhenologyRubussp,PhenologySedumalbum,PhenologyStachysofficinalis,PhenologyAjugareptans,PhenologyAnthericumramosum,PhenologyFragariasp,PhenologyPhyteumaorbiculare,PhenologyPolygalaalpestris,PhenologySanguisorbaminor,PhenologyUrticadioica,PhenologyVeronicateucrium,PhenologyApiaceaesp,PhenologyBistortavivipara,PhenologyCarduusnutans,PhenologyGentianaverna,PhenologyGeraniumsylvaticum,PhenologyGeraniumpusillum,PhenologyPolygalavulgaris,PhenologyViciasepium,PhenologyViolasp,PhenologyAlliumcarinatum,PhenologyCarlinavulgaris,PhenologyGymnadeniaconopsea,PhenologySilenenutans,PhenologySolanumdulgamara,PhenologyTrifoliumcampestre,PhenologyVeronicaofficinalis,PhenologyVincetoxicumhirundinaria,PhenologyAegopodiumpodagraria,PhenologyAsteramellus,PhenologyDianthussp,PhenologyLigustrumvulgare,PhenologyMyosotessp,PhenologySedumspyellow,PhenologyThesiumsp,PhenologyTrolleiseuropaeus,PhenologyChenopodiumsp,PhenologyCichoriumintybus,PhenologyGentianasp,PhenologyMelampyrumsylvaticum,PhenologyNeottiaovata,PhenologyOdontitesluteus,PhenologyParnassiapalustris,PhenologyPastinacasativa,PhenologyAtrobabelladonna,PhenologyCephalantheralongifolia,PhenologyLamiumalbum,PhenologyMedicagominima,PhenologyOriganumvulgare,PhenologyPlantagomajor,PhenologyPulsatillasp,PhenologyRhinanthusminor,PhenologyRumexsp,PhenologyStachysrecta,PhenologyTragopodonpratensis,PhenologyVerbenaofficinalis,PhenologyVeronicasp,PhenologyAnacamptispyramidalis,PhenologyAsterbellidiastrum,PhenologyCentauriumsp,PhenologyCoeglossumviride,PhenologyConyzasp,PhenologyCrepissp,PhenologyCuscutaeuropaeae,PhenologyEpilobiumsp,PhenologyGeraniumsanguineum?,PhenologyOnobrychisvicifolia,PhenologyOrchismascula,PhenologyPlatantherachlorantha,PhenologyResedalutea,PhenologySaponariaocymoides?,PhenologySilenedioica,PhenologyValeriana,PhenologyAconitumnapellus,PhenologyAconitumanthora,PhenologyAjugapyramidalis,PhenologyAnemonenarcissiflora,PhenologyArnicamontana,PhenologyCapsellabursa-pastoris,PhenologyConvolvulusarvensis,PhenologyCrepissp2,PhenologyGlobulariacardiflora,PhenologyLathyrussp,PhenologyMaianthemumbifolium,PhenologyMalvaneglecta,PhenologyMycelismuralis,PhenologyOphrusapifera,PhenologyOphrusinsectifera,PhenologyPlantherabifolia,PhenologyPrimulaveris,PhenologySambucussp,PhenologySeneciosp,PhenologySisymbriumofficinale,PhenologySolidagovirgaurea,PhenologySpiranthesspiralis,PhenologyTrifoliumbadium,PhenologyVacciniumvitis-idaea
a,1,61,0.4,6,0,0,29.5,1020.6,208.318996,214.6881628,210.1303258,211.460084,206.106383,218.2417582,215.8695652,223.3142857,216.9545455,215.5584416,222.6543909,210.5454545,193.4555556,202.6708543,203.8732394,214.1062802,207.1428571,217.025,214.8009479,200.3101266,207.8970588,228.1591131,187.4516129,226.75,225.4372624,208.0377358,196.1838235,199.3,210.2443439,188.5909091,191.3636364,221.8344371,213.4754098,203.5,209.352,199.9243243,221.4537815,212.4047786,234.7142857,216.6525424,211.45,227,,194.2,219.9090909,202.3429603,165.826087,205.2197802,215.3440367,192.3333333,206.5804989,205,212.611399,204.7333333,212.9230769,226.08,182.3015873,227.7567568,190,,196.1428571,,190,,,,164,,187.5,241,176.9569892,,,214,,,,,,,,,,,223,170.8333333,,202.5333333,,235,,,232.2916667,,,,205,,,,,,,,,,,,,,,,,,216.8902439,,,,197,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,50,0.55,3.8,0,0,37.3,984.9,206.0440339,212.4844496,208.4901961,212.0940919,207.3833333,218.5180723,228.0769231,219.5953307,218.8027211,213.7398964,220.8651685,211.4615385,183.971564,197.9951456,201.372549,211.7297297,202.9279279,217.0987654,209.008,195.3606557,205.6545455,226.1832612,,219.4946619,227.841169,212.5,197.5454545,,183,181.5714286,,227,213.5813953,201.6528926,201.5612245,220,198,216.0641822,240,221.8309859,218.8333333,,190,188.8333333,219.2650602,209.1649485,,212.5795455,221.3777778,183.6666667,,,214.2727273,197.5,221.4705882,,208.2727273,,,,227,,,,,,,,179.3289474,,179,183,,,,228.5,,,,184.8571429,,,,,,186.6923077,,,211,,,,234,,,,,,183,,,,179.5217391,,,175,,,,,,,,237.5,,,,,,,183,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,
a,3,65,0.45,5.2,0.3,0,36.7,949.8,204.8183992,212.6857267,208.7135678,211.7237687,202.2083333,213.7218045,218.2467532,227.7656033,210.0538462,214.8837209,218.984375,206.4230769,196.8548387,201.1629861,202.0229008,214.1,202.4864865,215.1212121,206.037594,198.1875,199.8041237,224.6451154,176.4285714,212.0961538,223.8830189,214.4615385,211,195.25,198.6237624,192.4634146,175,222.8448276,210.0336134,202.751663,212.8114754,199.96,221.9362214,212.7263158,238,217.9428571,206.1754386,209.5918367,177,194.8125,211.7454545,199.4644351,,208.1025641,217,193,225.877193,,209.3986014,195.5,212.6829268,,,220.0222222,190,,212.9324324,,,204.1153846,,,,176.3333333,175.3636364,238,178.0070922,186.9473684,214.8235294,216.7857143,,235.75,,,,,175,179,179,,,,,193.4,,,,,,,,199,,,,,,,179,,200.2857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,4,55,3.15,11.2,0.15,0,33.2,1002.8,204.2603634,209.7605437,208.3753351,211.7105263,203.9090909,215.9145244,225.1666667,226.5028153,207.7815913,207.3172414,216.6496674,216.625,191.9664804,206.3403141,201.0964467,214.2755906,197.5,200.9586777,209.1673324,202.079096,209.3065134,225.7592629,192.6,223.8914405,225.6271186,200.6666667,219.8287293,188.5185185,209.7894737,178.875,179,222.4736842,209.9333333,194.8333333,195.5490196,189.6153846,217.8644068,209.9917582,236.3870968,221.3928571,,201,,206.6666667,221.6710526,200.6004367,168,198,217.0178571,197.75,,191,210.7032967,,221.0485175,201,209.375,223.8092486,,168,,219.75,228,219.2631579,,,,,,240,179,179.3870968,205.1,205.0666667,,,,,,,180,168.4230769,,,227.1071429,169.4285714,,205,168,,,212.1333333,,,,,,,168,,,,,,199.2,,,,,,228,,,234,,,,,,,,,168,,,,,179,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,5,61,3.6,6.6,1.1,1.2,20.4,1001,203.1352879,211.7832013,208.1075949,211.3347639,200.6538462,218.6576025,212.9871383,224.2319613,210.4787234,198.5281899,220.5853659,209.9859155,196.8712871,197.6647532,200.2916292,217.9556962,201.0909091,206.6346154,203.1818182,199.5447761,207.0636364,224.6532886,175.6981132,217.975,223.0645161,208.1538462,196.0526316,201.3170732,215.5353535,201.1621622,208.8333333,218.9302326,206.2535211,194.0294118,189.7417582,193.6862745,220.4642857,205.7439024,235,217.0928571,209.74122,216.4444444,179,200,219.75,192.2599119,177,191,212.0987654,189.2,196.4810127,175,220.6136364,188.2352941,220.8823529,195.4666667,179,219.4814815,,203.4794521,,,216,232.8,,,175,,175,232,179,187.5961538,212.0869565,198.7021277,,,,,175,,195.3333333,,219.8,,233.8571429,179.4876033,,,203.6724138,194.3333333,,,,,,193.3333333,204,,190.5652174,,,,179,,196.3207547,,,,,,,,,232.7807018,,193,,,,,,,,,,,,,,,208.1428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6,,,,,,
a,6,59,2.5,10.8,0,0,18.7,981.9,205.8541927,207.4785596,210.0598291,210.2117647,201.0727273,212.9459085,209.6190476,228.4723926,209.0353982,203.6650718,213.6981132,217.875,197.5521886,201.677449,201.4452191,210.2592593,191.0979021,202.8888889,205.3170732,194.9827044,200.2099125,221.8491224,177.9937107,219.3846154,223.9806452,207.6551724,219.9375,164.7924528,217.2258065,166.2580645,,224.6842105,206.984127,224.25,201.9082569,,227,209.5681818,,214.6451613,213.0604651,,,,215.6494024,194.1651376,166.3333333,212.1204819,214.9473684,180.3636364,,,212.2424242,205.6842105,212.76,,169.6666667,223.2222222,,,222,,,,,,,179.4285714,,236.4,178,191,,209.7019868,,219,,,,,,178,,,,168.5833333,,,,191,,214.7380952,235,,,,,,,,,,,,,,,,,,,,237.617284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,
i,1,44,0.7,25.8,0,0,22.3,766.3,200.4097144,208.4326464,206.5444444,211.2889391,197.9230769,212.9178082,213.8899522,219.6226415,204.2545587,204.7427386,224.3333333,200.5681818,199,194.8979592,187.625,213.3429462,197.7692308,191.4722222,208.9677419,191.9473684,202.1504065,223.2486085,163,216,,,192.6666667,171.5454545,,163,209,,212.220339,,198.3759398,,222.8461538,217.4429825,,222.2849741,210,207.8333333,171.8,186,217.6923077,194.2736318,,217.3135985,215.7466667,176,,,211.7307692,191.6666667,213.7699784,,174.4918033,221.7671233,,239,204.7563025,202.3040936,197,215.2121212,,,221,166.5145631,164.0934579,,176,176.6774194,,197,,206.9783694,,,,187.0740741,197.1290323,203,,,199.8125,,,,,173.8333333,239,218,,,,,,,208.9117647,,237.6363636,,176,,,,,,,,,,239,,,176.3333333,,,,216.2941176,,,,,,,,,,,,,,,,,179.1,,,,,163,,,,,,,,,196.2097902,,,,,,,163,,,,,,,,,,
i,2,56,1.2,20.2,0,0,25.8,737.4,204.701796,205.5676512,208.3733333,208.7720588,199.65,212.9090909,212.922619,224.9444444,209.0511129,202.2352941,223.8961039,201.0783133,189.1313131,191.8910891,196.0795848,213.9469697,202.4939024,189,207.6505376,189.5457875,201.4534413,221.7413333,201.9107143,215.2248244,225.8205128,,,197,,175.5,178,222.4166667,213.75,208.9302326,198.3478261,163,,216.028169,234.1,219.6290323,205.1935484,215.6666667,169.2067669,,215.3586161,200.5799492,,218.6426906,214.4814815,190.2608696,,195.6438356,209.0918367,209.4848485,208.6976744,,163,218.03125,183.0909091,,203.3040936,,,,,,,184.2600834,170.5,,,,205.1428571,213.4086022,,208.7655748,,,,186.6363636,,,,,,163,,,,,,,232.1538462,,,,,,,,237.5302491,202.9788136,,,198.3333333,,,239,206.2857143,,,,234,237.5555556,,,,,,,,239,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,3,45,0.05,18.6,0,0.05,10.5,711.5,201.4714393,214.3662346,206.5958084,210.9572301,200.147541,219.0649698,199.0676329,217.3831528,210.2761605,203.3206997,213.9461883,202.8235294,192.7651822,199.1807229,191.7071547,215.6036889,188.5220126,190.8039216,206.5279503,184.1544715,206.0121212,221.3290444,163.3333333,216.6666667,221.2148148,213.173913,221.9090909,161,203.08,167.875,184.2290406,,,177.9047619,203,167.8,229.3539823,210.1860465,,213.5433526,216.9333333,196,,193.25,214.7263682,184.2798054,164.4735812,230.25,216.3339783,,,186.125,210.3493151,,213.7280702,212.0965909,,216.5913978,168.5,170,,,203.3,208.5454545,,,,,,,176,,214,219.0769231,,,,,,,,,,,,,,195.3478261,,,,,,,,,226,,,,,,,,,,,239,204.2173913,,,,,,212.7948718,,,,,,,,,,217,,205.3333333,161,,,,,,,238.2173913,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,
i,4,46,3.6,19.8,0,0.05,10.85,702.4,199.8604514,195.9101917,206.21875,209.6666667,210.2051282,211.9477943,197.3333333,216.2058824,206.8271605,202.575,218.7319588,186,199.4772727,196.1272727,200.0357143,208.4754098,181.2635659,196.1463415,212.6363636,177.4206642,213.8908451,215.4958753,162,203,,223.1666667,208.4181818,203,215.9528796,162,191.1594684,,214.0444444,167.4802372,186.5454545,192.4137931,224.8666667,221.7,,211.3114754,220.44,,,198.7619048,213.32,182.5902439,166.9926471,224.25,209.343966,,,194.8666667,207.0722892,,207.4117647,207.68,,218.7363636,181.1219512,,,,177,,,,,,,239,,,,,,,,,,162,,,,,211.7721519,,,176.5555556,,,,,,,,,198,,,,,205.8,,,,,,239,208.21875,,,,233,,,,,,,,,,,,,,217.2380952,162,,,,,,211.25,,,,185.5,,,,,,,,,,,,179.6363636,,,,,,177,,,,,,,186,162,,,,
