"","Meadow","Site","Species1","Species2","Schoener","MeadowSite","Elevation"
"1","i","3","MinOfAchilleamillefolium","DipteraSyrphidaeDensity",0.636343601354113,"i3",711.5
"2","i","3","MinOfAcinosalpinus","DipteraSyrphidaeDensity",NA,"i3",711.5
"3","i","3","MinOfAconitumnapellus","DipteraSyrphidaeDensity",NA,"i3",711.5
"4","i","3","MinOfAconitumanthora","DipteraSyrphidaeDensity",NA,"i3",711.5
"5","i","3","MinOfAegopodiumpodagraria","DipteraSyrphidaeDensity",NA,"i3",711.5
"6","i","3","MinOfAgrimoniaeupatoria","DipteraSyrphidaeDensity",0.755097885265674,"i3",711.5
"7","i","3","MinOfAjugareptans","DipteraSyrphidaeDensity",NA,"i3",711.5
"8","i","3","MinOfAjugapyramidalis","DipteraSyrphidaeDensity",NA,"i3",711.5
"9","i","3","MinOfAlchemillasp","DipteraSyrphidaeDensity",NA,"i3",711.5
"10","i","3","MinOfAlliumcarinatum","DipteraSyrphidaeDensity",NA,"i3",711.5
"11","i","3","MinOfAnacamptispyramidalis","DipteraSyrphidaeDensity",NA,"i3",711.5
"12","i","3","MinOfAnemonenarcissiflora","DipteraSyrphidaeDensity",NA,"i3",711.5
"13","i","3","MinOfAnthericumramosum","DipteraSyrphidaeDensity",NA,"i3",711.5
"14","i","3","MinOfAnthyllisvulneraria","DipteraSyrphidaeDensity",0.102348389125704,"i3",711.5
"15","i","3","MinOfApiaceaesp","DipteraSyrphidaeDensity",NA,"i3",711.5
"16","i","3","MinOfArabis.Arabidopsis","DipteraSyrphidaeDensity",0.190210544983962,"i3",711.5
"17","i","3","MinOfArenaria.Linumym","DipteraSyrphidaeDensity",0.424722299467468,"i3",711.5
"18","i","3","MinOfArnicamontana","DipteraSyrphidaeDensity",NA,"i3",711.5
"19","i","3","MinOfAsperulacynanchica","DipteraSyrphidaeDensity",0.0708565773050462,"i3",711.5
"20","i","3","MinOfAsteramellus","DipteraSyrphidaeDensity",NA,"i3",711.5
"21","i","3","MinOfAsterbellidiastrum","DipteraSyrphidaeDensity",NA,"i3",711.5
"22","i","3","MinOfAtrobabelladonna","DipteraSyrphidaeDensity",NA,"i3",711.5
"23","i","3","MinOfBellisperennis","DipteraSyrphidaeDensity",0.130590910919757,"i3",711.5
"24","i","3","MinOfBistortavivipara","DipteraSyrphidaeDensity",NA,"i3",711.5
"25","i","3","MinOfBuphthalmumsalicifolium","DipteraSyrphidaeDensity",NA,"i3",711.5
"26","i","3","MinOfCarumcarvi","DipteraSyrphidaeDensity",0.125967247991198,"i3",711.5
"27","i","3","MinOfClinopodiumvulgare","DipteraSyrphidaeDensity",0.435773026578692,"i3",711.5
"28","i","3","MinOfCampanulaglomerata","DipteraSyrphidaeDensity",0.756900996249856,"i3",711.5
"29","i","3","MinOfCampanulasp","DipteraSyrphidaeDensity",0.440694332316166,"i3",711.5
"30","i","3","MinOfCapsellabursa.pastoris","DipteraSyrphidaeDensity",NA,"i3",711.5
"31","i","3","MinOfCarduusdefloratus","DipteraSyrphidaeDensity",NA,"i3",711.5
"32","i","3","MinOfCarduusnutans","DipteraSyrphidaeDensity",NA,"i3",711.5
"33","i","3","MinOfCarlinaacaulis","DipteraSyrphidaeDensity",NA,"i3",711.5
"34","i","3","MinOfCarlinavulgaris","DipteraSyrphidaeDensity",NA,"i3",711.5
"35","i","3","MinOfCentaureasp","DipteraSyrphidaeDensity",0.438267190515643,"i3",711.5
"36","i","3","MinOfCentauriumsp","DipteraSyrphidaeDensity",NA,"i3",711.5
"37","i","3","MinOfCephalantheralongifolia","DipteraSyrphidaeDensity",NA,"i3",711.5
"38","i","3","MinOfCerastiumsp","DipteraSyrphidaeDensity",0.310791660893514,"i3",711.5
"39","i","3","MinOfChenopodiumsp","DipteraSyrphidaeDensity",0.072881051043557,"i3",711.5
"40","i","3","MinOfCichoriumintybus","DipteraSyrphidaeDensity",0.561203652614625,"i3",711.5
"41","i","3","MinOfCirsiumarvense","DipteraSyrphidaeDensity",NA,"i3",711.5
"42","i","3","MinOfCirsiumacaule","DipteraSyrphidaeDensity",NA,"i3",711.5
"43","i","3","MinOfCoeglossumviride","DipteraSyrphidaeDensity",NA,"i3",711.5
"44","i","3","MinOfConyzasp","DipteraSyrphidaeDensity",NA,"i3",711.5
"45","i","3","MinOfConvolvulusarvensis","DipteraSyrphidaeDensity",NA,"i3",711.5
"46","i","3","MinOfCrepissp","DipteraSyrphidaeDensity",NA,"i3",711.5
"47","i","3","MinOfCrepissp2","DipteraSyrphidaeDensity",NA,"i3",711.5
"48","i","3","MinOfCrepis.Hieracium","DipteraSyrphidaeDensity",0.648447085919122,"i3",711.5
"49","i","3","MinOfCrepis.Hieracium.Leontodon","DipteraSyrphidaeDensity",0.691359496528259,"i3",711.5
"50","i","3","MinOfCuscutaeuropaeae","DipteraSyrphidaeDensity",0.143737628348603,"i3",711.5
"51","i","3","MinOfDaucuscarota","DipteraSyrphidaeDensity",0.549758103668462,"i3",711.5
"52","i","3","MinOfDianthussp","DipteraSyrphidaeDensity",NA,"i3",711.5
"53","i","3","MinOfEchiumvulgare","DipteraSyrphidaeDensity",0.269254993759176,"i3",711.5
"54","i","3","MinOfEpilobiumsp","DipteraSyrphidaeDensity",NA,"i3",711.5
"55","i","3","MinOfEuphrasiasp","DipteraSyrphidaeDensity",0.675469378136066,"i3",711.5
"56","i","3","MinOfEuphorbiacyparissias","DipteraSyrphidaeDensity",NA,"i3",711.5
"57","i","3","MinOfFragariasp","DipteraSyrphidaeDensity",NA,"i3",711.5
"58","i","3","MinOfGaliumverum","DipteraSyrphidaeDensity",0.639333733916656,"i3",711.5
"59","i","3","MinOfGaliumsp","DipteraSyrphidaeDensity",0.158718733163304,"i3",711.5
"60","i","3","MinOfGentianasp","DipteraSyrphidaeDensity",NA,"i3",711.5
