ID,Meadow,Site,MS,Elevation,Species1,Species2,Schoener,ColeopteraVsPlants
376070,i,3,i3,711.5,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0,x
418424,i,4,i4,702.4,ProportionChenopodium sp#,ProportionZDensityColeopteraTOTAL,0,x
418497,i,4,i4,702.4,ProportionPolygonum aviculare,ProportionZDensityColeopteraTOTAL,0,x
673158,n,3,n3,1407.7,ProportionVeronica officinalis,ProportionZDensityColeopteraTOTAL,0,x
673161,n,3,n3,1407.7,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0,x
79002,a,2,a2,984.9,ProportionPlantago major,ProportionZDensityColeopteraTOTAL,0.012741963,x
79004,a,2,a2,984.9,ProportionPlanthera bifolia,ProportionZDensityColeopteraTOTAL,0.012741963,x
79019,a,2,a2,984.9,ProportionRubus sp#,ProportionZDensityColeopteraTOTAL,0.012741963,x
79047,a,2,a2,984.9,ProportionTrifolium repens,ProportionZDensityColeopteraTOTAL,0.012741963,x
79060,a,2,a2,984.9,ProportionVincetoxicum hirundinaria,ProportionZDensityColeopteraTOTAL,0.012741963,x
333551,i,2,i2,737.4,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.01321004,x
460942,i,5,i5,684.5,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.013641679,x
248762,a,6,a6,981.9,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.016589862,x
248801,a,6,a6,981.9,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.016589862,x
460884,i,5,i5,684.5,ProportionGeranium pusillum,ProportionZDensityColeopteraTOTAL,0.01909835,x
460899,i,5,i5,684.5,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.01909835,x
121349,a,3,a3,949.8,ProportionApiaceae sp#,ProportionZDensityColeopteraTOTAL,0.019723866,x
121412,a,3,a3,949.8,ProportionLigustrum vulgare,ProportionZDensityColeopteraTOTAL,0.019723866,x
121473,a,3,a3,949.8,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.019723866,x
121493,a,3,a3,949.8,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.019723866,x
333646,i,2,i2,737.4,ProportionSilene vulgaris,ProportionZDensityColeopteraTOTAL,0.019815059,x
291156,i,1,i1,766.3,ProportionLigustrum vulgare,ProportionZDensityColeopteraTOTAL,0.020253165,x
291174,i,1,i1,766.3,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.020253165,x
291198,i,1,i1,766.3,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.020253165,x
