Meadow,Site,MS,Elevation,Species1,Species2,Schoener,DipteraVsPlants
i,6,i6,702.2,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.005121498,x
i,1,i1,766.3,ProportionLigustrum vulgare,ProportionZDensityDipteraTOTAL,0.008316008,x
i,1,i1,766.3,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.008316008,x
i,1,i1,766.3,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.008316008,x
i,7,i7,648.5,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.009473684,x
i,7,i7,648.5,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.009473684,x
i,2,i2,737.4,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.016797312,x
i,3,i3,711.5,ProportionChenopodium sp#,ProportionZDensityDipteraTOTAL,0.023604788,x
i,5,i5,684.5,ProportionPolygala vulgaris,ProportionZDensityDipteraTOTAL,0.023698688,x
i,5,i5,684.5,ProportionSpiranthes spiralis,ProportionZDensityDipteraTOTAL,0.023698688,x
a,6,a6,981.9,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.024360536,x
a,6,a6,981.9,ProportionVicia sepium,ProportionZDensityDipteraTOTAL,0.024360536,x
i,5,i5,684.5,ProportionRumex sp#,ProportionZDensityDipteraTOTAL,0.025391452,x
i,5,i5,684.5,ProportionApiaceae sp#,ProportionZDensityDipteraTOTAL,0.02962336,x
i,3,i3,711.5,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.037489958,x
n,1,n1,1390.3,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.03809139,x
i,1,i1,766.3,ProportionEchium vulgare,ProportionZDensityDipteraTOTAL,0.038491238,x
i,5,i5,684.5,ProportionGeranium pusillum,ProportionZDensityDipteraTOTAL,0.039102835,x
i,5,i5,684.5,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.039102835,x
i,1,i1,766.3,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.040574073,x
n,1,n1,1390.3,ProportionVicia cracca,ProportionZDensityDipteraTOTAL,0.041734914,x
n,2,n2,1405.5,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.043325362,x
n,2,n2,1405.5,ProportionVicia cracca,ProportionZDensityDipteraTOTAL,0.043325362,x
i,6,i6,702.2,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.049385877,x
i,2,i2,737.4,ProportionChenopodium sp#,ProportionZDensityDipteraTOTAL,0.050391937,x
i,2,i2,737.4,ProportionPulsatilla sp#,ProportionZDensityDipteraTOTAL,0.050391937,x
a,5,a5,1001,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.050544323,x
i,5,i5,684.5,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.051460008,x
n,3,n3,1407.7,ProportionAllium carinatum,ProportionZDensityDipteraTOTAL,0.052529183,x
n,3,n3,1407.7,ProportionGentiana sp#,ProportionZDensityDipteraTOTAL,0.052529183,x
i,7,i7,648.5,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.052631579,x
i,4,i4,702.4,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.052783109,x
i,4,i4,702.4,ProportionMalva neglecta,ProportionZDensityDipteraTOTAL,0.052783109,x
i,3,i3,711.5,ProportionStachys recta,ProportionZDensityDipteraTOTAL,0.055540679,x
n,1,n1,1390.3,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.056563804,x
i,3,i3,711.5,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.057127555,x
i,5,i5,684.5,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.05924672,x
i,6,i6,702.2,ProportionAllium carinatum,ProportionZDensityDipteraTOTAL,0.062226206,x
n,5,n5,1398.6,ProportionDaucus carota,ProportionZDensityDipteraTOTAL,0.063282425,x
n,5,n5,1398.6,ProportionValeriana,ProportionZDensityDipteraTOTAL,0.063282425,x
o,3,o3,1612.7,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.065384573,x
o,3,o3,1612.7,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.065384573,x
i,3,i3,711.5,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.067481924,x
n,5,n5,1398.6,ProportionSolanum dulgamara,ProportionZDensityDipteraTOTAL,0.069035373,x
i,4,i4,702.4,ProportionOdontites luteus,ProportionZDensityDipteraTOTAL,0.069417786,x
n,3,n3,1407.7,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.070038911,x
o,3,o3,1612.7,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.072491592,x
o,3,o3,1612.7,ProportionMelampyrum sylvaticum,ProportionZDensityDipteraTOTAL,0.072491592,x
i,2,i2,737.4,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.072788354,x
a,6,a6,981.9,ProportionClinopodium vulgare,ProportionZDensityDipteraTOTAL,0.073081608,x
o,3,o3,1612.7,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.076755803,x
n,4,n4,1420,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.078172589,x
n,2,n2,1405.5,ProportionApiaceae sp#,ProportionZDensityDipteraTOTAL,0.078773386,x
i,7,i7,648.5,ProportionChenopodium sp#,ProportionZDensityDipteraTOTAL,0.078947368,x
i,7,i7,648.5,ProportionOriganum vulgare,ProportionZDensityDipteraTOTAL,0.078947368,x
i,7,i7,648.5,ProportionPastinaca sativa,ProportionZDensityDipteraTOTAL,0.078947368,x
i,7,i7,648.5,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.078947368,x
i,7,i7,648.5,ProportionSolanum dulgamara,ProportionZDensityDipteraTOTAL,0.078947368,x
i,7,i7,648.5,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.078947368,x
i,1,i1,766.3,ProportionAllium carinatum,ProportionZDensityDipteraTOTAL,0.08019008,x
i,4,i4,702.4,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.08024099,x
i,4,i4,702.4,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.08024099,x
a,1,a1,1020.6,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.080871292,x
a,6,a6,981.9,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.082216809,x
a,6,a6,981.9,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.082216809,x
o,4,o4,1576.2,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.084056486,x
o,4,o4,1576.2,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.084056486,x
a,2,a2,984.9,ProportionClinopodium vulgare,ProportionZDensityDipteraTOTAL,0.085998664,x
i,1,i1,766.3,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.09049709,x
n,1,n1,1390.3,ProportionCirsium arvense,ProportionZDensityDipteraTOTAL,0.090851515,x
n,1,n1,1390.3,ProportionTeurium montanum,ProportionZDensityDipteraTOTAL,0.090851515,x
a,2,a2,984.9,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.091057409,x
i,1,i1,766.3,ProportionVicia sepium,ProportionZDensityDipteraTOTAL,0.091649342,x
i,3,i3,711.5,ProportionStachys officinalis,ProportionZDensityDipteraTOTAL,0.093030637,x
o,4,o4,1576.2,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.095824394,x
o,4,o4,1576.2,ProportionArenaria/Linum ym#,ProportionZDensityDipteraTOTAL,0.095824394,x
o,4,o4,1576.2,ProportionPlantago major,ProportionZDensityDipteraTOTAL,0.095824394,x
a,5,a5,1001,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.096228616,x
a,5,a5,1001,ProportionLigustrum vulgare,ProportionZDensityDipteraTOTAL,0.096228616,x
a,5,a5,1001,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.096228616,x
i,7,i7,648.5,ProportionClinopodium vulgare,ProportionZDensityDipteraTOTAL,0.098555212,x
i,2,i2,737.4,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.100130646,x
a,3,a3,949.8,ProportionSolanum dulgamara,ProportionZDensityDipteraTOTAL,0.100502513,x
a,1,a1,1020.6,ProportionMedicago minima,ProportionZDensityDipteraTOTAL,0.101089115,x
a,4,a4,1002.8,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.101547904,x
a,4,a4,1002.8,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.101547904,x
a,4,a4,1002.8,ProportionMelampyrum sylvaticum,ProportionZDensityDipteraTOTAL,0.101547904,x
o,3,o3,1612.7,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.10234107,x
o,4,o4,1576.2,ProportionMedicago sativa,ProportionZDensityDipteraTOTAL,0.103109289,x
o,4,o4,1576.2,ProportionTeurium montanum,ProportionZDensityDipteraTOTAL,0.103109289,x
i,4,i4,702.4,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.106365963,x
i,4,i4,702.4,ProportionSenecio sp#,ProportionZDensityDipteraTOTAL,0.106365963,x
n,2,n2,1405.5,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.106906738,x
n,2,n2,1405.5,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.106906738,x
n,2,n2,1405.5,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.106906738,x
i,7,i7,648.5,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.107368421,x
i,2,i2,737.4,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.107706403,x
o,3,o3,1612.7,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.113306185,x
o,3,o3,1612.7,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.113306185,x
a,1,a1,1020.6,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.113725254,x
a,1,a1,1020.6,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.113725254,x
a,2,a2,984.9,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.113821761,x
n,2,n2,1405.5,ProportionSilene nutans,ProportionZDensityDipteraTOTAL,0.114221409,x
n,1,n1,1390.3,ProportionCampanula glomerata,ProportionZDensityDipteraTOTAL,0.114274171,x
n,1,n1,1390.3,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.114274171,x
i,6,i6,702.2,ProportionStachys recta,ProportionZDensityDipteraTOTAL,0.115233714,x
a,2,a2,984.9,ProportionCampanula sp#,ProportionZDensityDipteraTOTAL,0.120621503,x
a,2,a2,984.9,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.120621503,x
i,3,i3,711.5,ProportionCuscuta europaeae,ProportionZDensityDipteraTOTAL,0.121078679,x
a,2,a2,984.9,ProportionBuphthalmum salicifolium,ProportionZDensityDipteraTOTAL,0.121409879,x
a,2,a2,984.9,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.121409879,x
