Meadow,Site,MS,Elevation,Species1,Species2,Schoener,HymenopteraVsPlants
i,3,i3,711.5,ProportionStachys recta,ProportionZDensityHymenopteraTOTAL,0.01244039,x
i,6,i6,702.2,ProportionTrifolium repens,ProportionZDensityHymenopteraTOTAL,0.013492675,x
i,5,i5,684.5,ProportionGeranium pusillum,ProportionZDensityHymenopteraTOTAL,0.014937051,x
i,5,i5,684.5,ProportionLeucanthemum vulgare,ProportionZDensityHymenopteraTOTAL,0.014937051,x
i,1,i1,766.3,ProportionLigustrum vulgare,ProportionZDensityHymenopteraTOTAL,0.016305732,x
i,1,i1,766.3,ProportionOrchis ustulata,ProportionZDensityHymenopteraTOTAL,0.016305732,x
i,1,i1,766.3,ProportionRosa sp#,ProportionZDensityHymenopteraTOTAL,0.016305732,x
a,2,a2,984.9,ProportionPlantago major,ProportionZDensityHymenopteraTOTAL,0.016756251,x
a,2,a2,984.9,ProportionPlanthera bifolia,ProportionZDensityHymenopteraTOTAL,0.016756251,x
a,2,a2,984.9,ProportionRubus sp#,ProportionZDensityHymenopteraTOTAL,0.016756251,x
a,2,a2,984.9,ProportionTrifolium repens,ProportionZDensityHymenopteraTOTAL,0.016756251,x
a,2,a2,984.9,ProportionVincetoxicum hirundinaria,ProportionZDensityHymenopteraTOTAL,0.016756251,x
a,3,a3,949.8,ProportionSolanum dulgamara,ProportionZDensityHymenopteraTOTAL,0.018450185,x
a,1,a1,1020.6,ProportionGeranium sp#,ProportionZDensityHymenopteraTOTAL,0.018617159,x
a,1,a1,1020.6,ProportionTaraxacum sp#,ProportionZDensityHymenopteraTOTAL,0.018617159,x
n,2,n2,1405.5,ProportionCarlina acaulis,ProportionZDensityHymenopteraTOTAL,0.020845742,x
i,3,i3,711.5,ProportionChenopodium sp#,ProportionZDensityHymenopteraTOTAL,0.022807381,x
a,6,a6,981.9,ProportionRubus sp#,ProportionZDensityHymenopteraTOTAL,0.026717557,x
a,6,a6,981.9,ProportionVicia sepium,ProportionZDensityHymenopteraTOTAL,0.026717557,x
a,4,a4,1002.8,ProportionCentaurium sp#,ProportionZDensityHymenopteraTOTAL,0.027285334,x
a,4,a4,1002.8,ProportionPeucedanum sp#,ProportionZDensityHymenopteraTOTAL,0.027285334,x
n,1,n1,1390.3,ProportionPeucedanum sp#,ProportionZDensityHymenopteraTOTAL,0.031293583,x
i,7,i7,648.5,ProportionOrchis ustulata,ProportionZDensityHymenopteraTOTAL,0.031869078,x
i,7,i7,648.5,ProportionPotentilla sp#,ProportionZDensityHymenopteraTOTAL,0.031869078,x
n,4,n4,1420,ProportionCarlina acaulis,ProportionZDensityHymenopteraTOTAL,0.032499774,x
n,4,n4,1420,ProportionGentiana sp#,ProportionZDensityHymenopteraTOTAL,0.032499774,x
n,4,n4,1420,ProportionGeranium pusillum,ProportionZDensityHymenopteraTOTAL,0.032499774,x
n,4,n4,1420,ProportionSilene nutans,ProportionZDensityHymenopteraTOTAL,0.032499774,x
n,4,n4,1420,ProportionViola sp#,ProportionZDensityHymenopteraTOTAL,0.032499774,x
n,2,n2,1405.5,ProportionPolygonum aviculare,ProportionZDensityHymenopteraTOTAL,0.033353186,x
n,2,n2,1405.5,ProportionVicia cracca,ProportionZDensityHymenopteraTOTAL,0.033353186,x
i,2,i2,737.4,ProportionCerastium sp#,ProportionZDensityHymenopteraTOTAL,0.033590595,x
i,4,i4,702.4,ProportionPotentilla erecta,ProportionZDensityHymenopteraTOTAL,0.034158839,x
i,4,i4,702.4,ProportionPotentilla sp#,ProportionZDensityHymenopteraTOTAL,0.034158839,x
n,1,n1,1390.3,ProportionOrchis ustulata,ProportionZDensityHymenopteraTOTAL,0.03610798,x
i,5,i5,684.5,ProportionRumex sp#,ProportionZDensityHymenopteraTOTAL,0.040543424,x
n,3,n3,1407.7,ProportionCrepis/Hieracium,ProportionZDensityHymenopteraTOTAL,0.041594454,x
n,5,n5,1398.6,ProportionTaraxacum sp#,ProportionZDensityHymenopteraTOTAL,0.041686343,x
a,5,a5,1001,ProportionPeucedanum sp#,ProportionZDensityHymenopteraTOTAL,0.043649062,x
a,2,a2,984.9,ProportionCarlina acaulis,ProportionZDensityHymenopteraTOTAL,0.047126956,x
n,3,n3,1407.7,ProportionAllium carinatum,ProportionZDensityHymenopteraTOTAL,0.048526863,x
n,3,n3,1407.7,ProportionGentiana sp#,ProportionZDensityHymenopteraTOTAL,0.048526863,x
i,1,i1,766.3,ProportionRubus sp#,ProportionZDensityHymenopteraTOTAL,0.048563797,x
n,2,n2,1405.5,ProportionApiaceae sp#,ProportionZDensityHymenopteraTOTAL,0.05002978,x
a,4,a4,1002.8,ProportionSedum sp# yellow,ProportionZDensityHymenopteraTOTAL,0.050372925,x
a,4,a4,1002.8,ProportionCrepis/Hieracium,ProportionZDensityHymenopteraTOTAL,0.050372925,x
a,4,a4,1002.8,ProportionGalium sp#,ProportionZDensityHymenopteraTOTAL,0.050372925,x
i,6,i6,702.2,ProportionGeranium sp#,ProportionZDensityHymenopteraTOTAL,0.052043177,x
n,1,n1,1390.3,ProportionAnthyllis vulneraria,ProportionZDensityHymenopteraTOTAL,0.052155971,x
