Meadow,Site,MS,Elevation,Species1,Species2,Schoener,OverallVsPlants
i,6,i6,702.2,ProportionTrifolium repens,ProportionZInsectDensity,0.012662287,x
i,1,i1,766.3,ProportionLigustrum vulgare,ProportionZInsectDensity,0.014489754,x
i,1,i1,766.3,ProportionOrchis ustulata,ProportionZInsectDensity,0.014489754,x
i,1,i1,766.3,ProportionRosa sp#,ProportionZInsectDensity,0.014489754,x
i,2,i2,737.4,ProportionCerastium sp#,ProportionZInsectDensity,0.021541201,x
i,3,i3,711.5,ProportionRosa sp#,ProportionZInsectDensity,0.024825336,x
i,7,i7,648.5,ProportionOrchis ustulata,ProportionZInsectDensity,0.025423729,x
i,7,i7,648.5,ProportionPotentilla sp#,ProportionZInsectDensity,0.025423729,x
a,6,a6,981.9,ProportionRosa sp#,ProportionZInsectDensity,0.026490066,x
a,6,a6,981.9,ProportionVeronica teucrium,ProportionZInsectDensity,0.026490066,x
i,5,i5,684.5,ProportionRosa sp#,ProportionZInsectDensity,0.026596755,x
a,5,a5,1001,ProportionHippocrepis comosa,ProportionZInsectDensity,0.02979146,x
a,5,a5,1001,ProportionLigustrum vulgare,ProportionZInsectDensity,0.02979146,x
a,5,a5,1001,ProportionPolygala comosa,ProportionZInsectDensity,0.02979146,x
a,3,a3,949.8,ProportionApiaceae sp#,ProportionZInsectDensity,0.03021148,x
a,3,a3,949.8,ProportionLigustrum vulgare,ProportionZInsectDensity,0.03021148,x
a,3,a3,949.8,ProportionVeronica teucrium,ProportionZInsectDensity,0.03021148,x
i,5,i5,684.5,ProportionGeranium pusillum,ProportionZInsectDensity,0.037995365,x
i,5,i5,684.5,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.037995365,x
a,4,a4,1002.8,ProportionCerastium sp#,ProportionZInsectDensity,0.042142611,x
a,4,a4,1002.8,ProportionRosa sp#,ProportionZInsectDensity,0.042142611,x
a,4,a4,1002.8,ProportionVeronica sp#,ProportionZInsectDensity,0.042142611,x
