"","Meadow","Site","Species1","Species2","Schoener","MeadowSite","Elevation"
"1","i","3","MinOfAchilleamillefolium","DipteraMuscidaeDensity",0.716626440651338,"i3",711.5
"2","i","3","MinOfAcinosalpinus","DipteraMuscidaeDensity",NA,"i3",711.5
"3","i","3","MinOfAconitumnapellus","DipteraMuscidaeDensity",NA,"i3",711.5
"4","i","3","MinOfAconitumanthora","DipteraMuscidaeDensity",NA,"i3",711.5
"5","i","3","MinOfAegopodiumpodagraria","DipteraMuscidaeDensity",NA,"i3",711.5
"6","i","3","MinOfAgrimoniaeupatoria","DipteraMuscidaeDensity",0.70225114274508,"i3",711.5
"7","i","3","MinOfAjugareptans","DipteraMuscidaeDensity",NA,"i3",711.5
"8","i","3","MinOfAjugapyramidalis","DipteraMuscidaeDensity",NA,"i3",711.5
"9","i","3","MinOfAlchemillasp","DipteraMuscidaeDensity",NA,"i3",711.5
"10","i","3","MinOfAlliumcarinatum","DipteraMuscidaeDensity",NA,"i3",711.5
"11","i","3","MinOfAnacamptispyramidalis","DipteraMuscidaeDensity",NA,"i3",711.5
"12","i","3","MinOfAnemonenarcissiflora","DipteraMuscidaeDensity",NA,"i3",711.5
"13","i","3","MinOfAnthericumramosum","DipteraMuscidaeDensity",NA,"i3",711.5
"14","i","3","MinOfAnthyllisvulneraria","DipteraMuscidaeDensity",0.074838795795297,"i3",711.5
"15","i","3","MinOfApiaceaesp","DipteraMuscidaeDensity",NA,"i3",711.5
"16","i","3","MinOfArabis.Arabidopsis","DipteraMuscidaeDensity",0.220457051111648,"i3",711.5
"17","i","3","MinOfArenaria.Linumym","DipteraMuscidaeDensity",0.270989943455965,"i3",711.5
"18","i","3","MinOfArnicamontana","DipteraMuscidaeDensity",NA,"i3",711.5
"19","i","3","MinOfAsperulacynanchica","DipteraMuscidaeDensity",0.0210484113503154,"i3",711.5
"20","i","3","MinOfAsteramellus","DipteraMuscidaeDensity",NA,"i3",711.5
"21","i","3","MinOfAsterbellidiastrum","DipteraMuscidaeDensity",NA,"i3",711.5
"22","i","3","MinOfAtrobabelladonna","DipteraMuscidaeDensity",NA,"i3",711.5
"23","i","3","MinOfBellisperennis","DipteraMuscidaeDensity",0.152889483544081,"i3",711.5
"24","i","3","MinOfBistortavivipara","DipteraMuscidaeDensity",NA,"i3",711.5
"25","i","3","MinOfBuphthalmumsalicifolium","DipteraMuscidaeDensity",NA,"i3",711.5
"26","i","3","MinOfCarumcarvi","DipteraMuscidaeDensity",0.161371153334945,"i3",711.5
"27","i","3","MinOfClinopodiumvulgare","DipteraMuscidaeDensity",0.507446773825979,"i3",711.5
"28","i","3","MinOfCampanulaglomerata","DipteraMuscidaeDensity",0.616180781518403,"i3",711.5
"29","i","3","MinOfCampanulasp","DipteraMuscidaeDensity",0.385354430950867,"i3",711.5
"30","i","3","MinOfCapsellabursa.pastoris","DipteraMuscidaeDensity",NA,"i3",711.5
"31","i","3","MinOfCarduusdefloratus","DipteraMuscidaeDensity",NA,"i3",711.5
"32","i","3","MinOfCarduusnutans","DipteraMuscidaeDensity",NA,"i3",711.5
"33","i","3","MinOfCarlinaacaulis","DipteraMuscidaeDensity",NA,"i3",711.5
"34","i","3","MinOfCarlinavulgaris","DipteraMuscidaeDensity",NA,"i3",711.5
"35","i","3","MinOfCentaureasp","DipteraMuscidaeDensity",0.570479976961227,"i3",711.5
"36","i","3","MinOfCentauriumsp","DipteraMuscidaeDensity",NA,"i3",711.5
"37","i","3","MinOfCephalantheralongifolia","DipteraMuscidaeDensity",NA,"i3",711.5
"38","i","3","MinOfCerastiumsp","DipteraMuscidaeDensity",0.283282067563107,"i3",711.5
"39","i","3","MinOfChenopodiumsp","DipteraMuscidaeDensity",0.06615215010848,"i3",711.5
"40","i","3","MinOfCichoriumintybus","DipteraMuscidaeDensity",0.38308108657574,"i3",711.5
"41","i","3","MinOfCirsiumarvense","DipteraMuscidaeDensity",NA,"i3",711.5
"42","i","3","MinOfCirsiumacaule","DipteraMuscidaeDensity",NA,"i3",711.5
"43","i","3","MinOfCoeglossumviride","DipteraMuscidaeDensity",NA,"i3",711.5
"44","i","3","MinOfConyzasp","DipteraMuscidaeDensity",NA,"i3",711.5
"45","i","3","MinOfConvolvulusarvensis","DipteraMuscidaeDensity",NA,"i3",711.5
"46","i","3","MinOfCrepissp","DipteraMuscidaeDensity",NA,"i3",711.5
"47","i","3","MinOfCrepissp2","DipteraMuscidaeDensity",NA,"i3",711.5
"48","i","3","MinOfCrepis.Hieracium","DipteraMuscidaeDensity",0.465520697634026,"i3",711.5
"49","i","3","MinOfCrepis.Hieracium.Leontodon","DipteraMuscidaeDensity",0.628378934002174,"i3",711.5
"50","i","3","MinOfCuscutaeuropaeae","DipteraMuscidaeDensity",0.196586932717176,"i3",711.5
"51","i","3","MinOfDaucuscarota","DipteraMuscidaeDensity",0.339222408111704,"i3",711.5
"52","i","3","MinOfDianthussp","DipteraMuscidaeDensity",NA,"i3",711.5
"53","i","3","MinOfEchiumvulgare","DipteraMuscidaeDensity",0.269419665284037,"i3",711.5
"54","i","3","MinOfEpilobiumsp","DipteraMuscidaeDensity",NA,"i3",711.5
"55","i","3","MinOfEuphrasiasp","DipteraMuscidaeDensity",0.584711503324589,"i3",711.5
"56","i","3","MinOfEuphorbiacyparissias","DipteraMuscidaeDensity",NA,"i3",711.5
"57","i","3","MinOfFragariasp","DipteraMuscidaeDensity",NA,"i3",711.5
"58","i","3","MinOfGaliumverum","DipteraMuscidaeDensity",0.576353171390571,"i3",711.5
"59","i","3","MinOfGaliumsp","DipteraMuscidaeDensity",0.176806655342649,"i3",711.5
"60","i","3","MinOfGentianasp","DipteraMuscidaeDensity",NA,"i3",711.5
"61","i","3","MinOfGentianaverna","DipteraMuscidaeDensity",NA,"i3",711.5
"62","i","3","MinOfGeraniumsylvaticum","DipteraMuscidaeDensity",NA,"i3",711.5
"63","i","3","MinOfGeraniumpusillum","DipteraMuscidaeDensity",0.284811588432095,"i3",711.5
"64","i","3","MinOfGeraniumsanguineum.","DipteraMuscidaeDensity",NA,"i3",711.5
"65","i","3","MinOfGeraniumsp","DipteraMuscidaeDensity",0.290990945903777,"i3",711.5
"66","i","3","MinOfGlobularianudicaulis","DipteraMuscidaeDensity",NA,"i3",711.5
"67","i","3","MinOfGlobulariacardiflora","DipteraMuscidaeDensity",NA,"i3",711.5
"68","i","3","MinOfGymnadeniaconopsea","DipteraMuscidaeDensity",NA,"i3",711.5
"69","i","3","MinOfHelianthemumnummularium","DipteraMuscidaeDensity",0.465022596278222,"i3",711.5
"70","i","3","MinOfHieraciumpilosella","DipteraMuscidaeDensity",0.126290468101892,"i3",711.5
