Meadow,Site,Elevation,Species1,Species2,Schoener
i,3,711.5,Rosa sp#,ZDensityColeopteraTOTAL,0
i,4,702.4,Chenopodium sp#,ZDensityColeopteraTOTAL,0
i,4,702.4,Polygonum aviculare,ZDensityColeopteraTOTAL,0
n,3,1407.7,Veronica officinalis,ZDensityColeopteraTOTAL,0
n,3,1407.7,Veronica teucrium,ZDensityColeopteraTOTAL,0
a,2,984.9,Plantago major,ZDensityColeopteraTOTAL,0.012741963
a,2,984.9,Planthera bifolia,ZDensityColeopteraTOTAL,0.012741963
a,2,984.9,Rubus sp#,ZDensityColeopteraTOTAL,0.012741963
a,2,984.9,Trifolium repens,ZDensityColeopteraTOTAL,0.012741963
a,2,984.9,Vincetoxicum hirundinaria,ZDensityColeopteraTOTAL,0.012741963
i,2,737.4,Cerastium sp#,ZDensityColeopteraTOTAL,0.01321004
i,5,684.5,Rosa sp#,ZDensityColeopteraTOTAL,0.013641679
a,6,981.9,Rosa sp#,ZDensityColeopteraTOTAL,0.016589862
a,6,981.9,Veronica teucrium,ZDensityColeopteraTOTAL,0.016589862
i,5,684.5,Geranium pusillum,ZDensityColeopteraTOTAL,0.01909835
i,5,684.5,Leucanthemum vulgare,ZDensityColeopteraTOTAL,0.01909835
a,3,949.8,Apiaceae sp#,ZDensityColeopteraTOTAL,0.019723866
a,3,949.8,Ligustrum vulgare,ZDensityColeopteraTOTAL,0.019723866
a,3,949.8,Taraxacum sp#,ZDensityColeopteraTOTAL,0.019723866
a,3,949.8,Veronica teucrium,ZDensityColeopteraTOTAL,0.019723866
i,2,737.4,Silene vulgaris,ZDensityColeopteraTOTAL,0.019815059
i,1,766.3,Ligustrum vulgare,ZDensityColeopteraTOTAL,0.020253165
i,1,766.3,Orchis ustulata,ZDensityColeopteraTOTAL,0.020253165
i,1,766.3,Rosa sp#,ZDensityColeopteraTOTAL,0.020253165
n,2,1405.5,Silene dioica,ZDensityColeopteraTOTAL,0.021341463
n,2,1405.5,Veronica teucrium,ZDensityColeopteraTOTAL,0.021341463
a,4,1002.8,Cerastium sp#,ZDensityColeopteraTOTAL,0.022151
a,4,1002.8,Rosa sp#,ZDensityColeopteraTOTAL,0.022151
a,4,1002.8,Veronica sp#,ZDensityColeopteraTOTAL,0.022151
