Meadow,Site,Elevation,Species1,Species2,Schoener
i,6,702.2,Trifolium repens,ZDensityDipteraTOTAL,0.005121498
i,1,766.3,Ligustrum vulgare,ZDensityDipteraTOTAL,0.008316008
i,1,766.3,Orchis ustulata,ZDensityDipteraTOTAL,0.008316008
i,1,766.3,Rosa sp#,ZDensityDipteraTOTAL,0.008316008
i,7,648.5,Orchis ustulata,ZDensityDipteraTOTAL,0.009473684
i,7,648.5,Potentilla sp#,ZDensityDipteraTOTAL,0.009473684
i,2,737.4,Cerastium sp#,ZDensityDipteraTOTAL,0.016797312
i,3,711.5,Chenopodium sp#,ZDensityDipteraTOTAL,0.023604788
i,5,684.5,Polygala vulgaris,ZDensityDipteraTOTAL,0.023698688
i,5,684.5,Spiranthes spiralis,ZDensityDipteraTOTAL,0.023698688
a,6,981.9,Rubus sp#,ZDensityDipteraTOTAL,0.024360536
a,6,981.9,Vicia sepium,ZDensityDipteraTOTAL,0.024360536
i,5,684.5,Rumex sp#,ZDensityDipteraTOTAL,0.025391452
i,5,684.5,Apiaceae sp#,ZDensityDipteraTOTAL,0.02962336
i,3,711.5,Trifolium campestre,ZDensityDipteraTOTAL,0.037489958
n,1,1390.3,Crepis/Hieracium,ZDensityDipteraTOTAL,0.03809139
i,1,766.3,Echium vulgare,ZDensityDipteraTOTAL,0.038491238
i,5,684.5,Geranium pusillum,ZDensityDipteraTOTAL,0.039102835
i,5,684.5,Leucanthemum vulgare,ZDensityDipteraTOTAL,0.039102835
i,1,766.3,Rubus sp#,ZDensityDipteraTOTAL,0.040574073
n,1,1390.3,Vicia cracca,ZDensityDipteraTOTAL,0.041734914
n,2,1405.5,Polygonum aviculare,ZDensityDipteraTOTAL,0.043325362
n,2,1405.5,Vicia cracca,ZDensityDipteraTOTAL,0.043325362
i,6,702.2,Polygonum aviculare,ZDensityDipteraTOTAL,0.049385877
i,2,737.4,Chenopodium sp#,ZDensityDipteraTOTAL,0.050391937
i,2,737.4,Pulsatilla sp#,ZDensityDipteraTOTAL,0.050391937
a,5,1001,Peucedanum sp#,ZDensityDipteraTOTAL,0.050544323
i,5,684.5,Trifolium campestre,ZDensityDipteraTOTAL,0.051460008
n,3,1407.7,Allium carinatum,ZDensityDipteraTOTAL,0.052529183
n,3,1407.7,Gentiana sp#,ZDensityDipteraTOTAL,0.052529183
i,7,648.5,Arabis/Arabidopsis,ZDensityDipteraTOTAL,0.052631579
i,4,702.4,Geranium sp#,ZDensityDipteraTOTAL,0.052783109
i,4,702.4,Malva neglecta,ZDensityDipteraTOTAL,0.052783109
i,3,711.5,Stachys recta,ZDensityDipteraTOTAL,0.055540679
n,1,1390.3,Orchis ustulata,ZDensityDipteraTOTAL,0.056563804
i,3,711.5,Galium sp#,ZDensityDipteraTOTAL,0.057127555
i,5,684.5,Rosa sp#,ZDensityDipteraTOTAL,0.05924672
i,6,702.2,Allium carinatum,ZDensityDipteraTOTAL,0.062226206
n,5,1398.6,Daucus carota,ZDensityDipteraTOTAL,0.063282425
n,5,1398.6,Valeriana,ZDensityDipteraTOTAL,0.063282425
o,3,1612.7,Carlina acaulis,ZDensityDipteraTOTAL,0.065384573
o,3,1612.7,Potentilla sp#,ZDensityDipteraTOTAL,0.065384573
i,3,711.5,Asperula cynanchica,ZDensityDipteraTOTAL,0.067481924
n,5,1398.6,Solanum dulgamara,ZDensityDipteraTOTAL,0.069035373
i,4,702.4,Odontites luteus,ZDensityDipteraTOTAL,0.069417786
n,3,1407.7,Crepis/Hieracium,ZDensityDipteraTOTAL,0.070038911
o,3,1612.7,Cerastium sp#,ZDensityDipteraTOTAL,0.072491592
o,3,1612.7,Melampyrum sylvaticum,ZDensityDipteraTOTAL,0.072491592
i,2,737.4,Potentilla sp#,ZDensityDipteraTOTAL,0.072788354
a,6,981.9,Clinopodium vulgare,ZDensityDipteraTOTAL,0.073081608
o,3,1612.7,Sanguisorba minor,ZDensityDipteraTOTAL,0.076755803
n,4,1420,Hippocrepis comosa,ZDensityDipteraTOTAL,0.078172589
n,2,1405.5,Apiaceae sp#,ZDensityDipteraTOTAL,0.078773386
i,7,648.5,Chenopodium sp#,ZDensityDipteraTOTAL,0.078947368
i,7,648.5,Origanum vulgare,ZDensityDipteraTOTAL,0.078947368
i,7,648.5,Pastinaca sativa,ZDensityDipteraTOTAL,0.078947368
i,7,648.5,Polygonum aviculare,ZDensityDipteraTOTAL,0.078947368
i,7,648.5,Solanum dulgamara,ZDensityDipteraTOTAL,0.078947368
i,7,648.5,Trifolium repens,ZDensityDipteraTOTAL,0.078947368
i,1,766.3,Allium carinatum,ZDensityDipteraTOTAL,0.08019008
i,4,702.4,Potentilla erecta,ZDensityDipteraTOTAL,0.08024099
i,4,702.4,Potentilla sp#,ZDensityDipteraTOTAL,0.08024099
a,1,1020.6,Galium sp#,ZDensityDipteraTOTAL,0.080871292
a,6,981.9,Rosa sp#,ZDensityDipteraTOTAL,0.082216809
a,6,981.9,Veronica teucrium,ZDensityDipteraTOTAL,0.082216809
o,4,1576.2,Asperula cynanchica,ZDensityDipteraTOTAL,0.084056486
o,4,1576.2,Cerastium sp#,ZDensityDipteraTOTAL,0.084056486
a,2,984.9,Clinopodium vulgare,ZDensityDipteraTOTAL,0.085998664
i,1,766.3,Sanguisorba minor,ZDensityDipteraTOTAL,0.09049709
n,1,1390.3,Cirsium arvense,ZDensityDipteraTOTAL,0.090851515
n,1,1390.3,Teurium montanum,ZDensityDipteraTOTAL,0.090851515
a,2,984.9,Carlina acaulis,ZDensityDipteraTOTAL,0.091057409
i,1,766.3,Vicia sepium,ZDensityDipteraTOTAL,0.091649342
i,3,711.5,Stachys officinalis,ZDensityDipteraTOTAL,0.093030637
o,4,1576.2,Centaurea sp#,ZDensityDipteraTOTAL,0.095824394
o,4,1576.2,Arenaria/Linum ym#,ZDensityDipteraTOTAL,0.095824394
o,4,1576.2,Plantago major,ZDensityDipteraTOTAL,0.095824394
a,5,1001,Hippocrepis comosa,ZDensityDipteraTOTAL,0.096228616
a,5,1001,Ligustrum vulgare,ZDensityDipteraTOTAL,0.096228616
a,5,1001,Polygala comosa,ZDensityDipteraTOTAL,0.096228616
i,7,648.5,Clinopodium vulgare,ZDensityDipteraTOTAL,0.098555212
i,2,737.4,Arabis/Arabidopsis,ZDensityDipteraTOTAL,0.100130646
a,3,949.8,Solanum dulgamara,ZDensityDipteraTOTAL,0.100502513
a,1,1020.6,Medicago minima,ZDensityDipteraTOTAL,0.101089115
a,4,1002.8,Anthyllis vulneraria,ZDensityDipteraTOTAL,0.101547904
a,4,1002.8,Geranium sp#,ZDensityDipteraTOTAL,0.101547904
