Meadow,Site,Elevation,Species1,Species2,Schoener
i,3,711.5,Stachys recta,ZDensityHymenopteraTOTAL,0.01244039
i,6,702.2,Trifolium repens,ZDensityHymenopteraTOTAL,0.013492675
i,5,684.5,Geranium pusillum,ZDensityHymenopteraTOTAL,0.014937051
i,5,684.5,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.014937051
i,1,766.3,Ligustrum vulgare,ZDensityHymenopteraTOTAL,0.016305732
i,1,766.3,Orchis ustulata,ZDensityHymenopteraTOTAL,0.016305732
i,1,766.3,Rosa sp#,ZDensityHymenopteraTOTAL,0.016305732
a,2,984.9,Plantago major,ZDensityHymenopteraTOTAL,0.016756251
a,2,984.9,Planthera bifolia,ZDensityHymenopteraTOTAL,0.016756251
a,2,984.9,Rubus sp#,ZDensityHymenopteraTOTAL,0.016756251
a,2,984.9,Trifolium repens,ZDensityHymenopteraTOTAL,0.016756251
a,2,984.9,Vincetoxicum hirundinaria,ZDensityHymenopteraTOTAL,0.016756251
a,3,949.8,Solanum dulgamara,ZDensityHymenopteraTOTAL,0.018450185
a,1,1020.6,Geranium sp#,ZDensityHymenopteraTOTAL,0.018617159
a,1,1020.6,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.018617159
n,2,1405.5,Carlina acaulis,ZDensityHymenopteraTOTAL,0.020845742
i,3,711.5,Chenopodium sp#,ZDensityHymenopteraTOTAL,0.022807381
a,6,981.9,Rubus sp#,ZDensityHymenopteraTOTAL,0.026717557
a,6,981.9,Vicia sepium,ZDensityHymenopteraTOTAL,0.026717557
a,4,1002.8,Centaurium sp#,ZDensityHymenopteraTOTAL,0.027285334
a,4,1002.8,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.027285334
n,1,1390.3,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.031293583
i,7,648.5,Orchis ustulata,ZDensityHymenopteraTOTAL,0.031869078
i,7,648.5,Potentilla sp#,ZDensityHymenopteraTOTAL,0.031869078
n,4,1420,Carlina acaulis,ZDensityHymenopteraTOTAL,0.032499774
n,4,1420,Gentiana sp#,ZDensityHymenopteraTOTAL,0.032499774
n,4,1420,Geranium pusillum,ZDensityHymenopteraTOTAL,0.032499774
n,4,1420,Silene nutans,ZDensityHymenopteraTOTAL,0.032499774
n,4,1420,Viola sp#,ZDensityHymenopteraTOTAL,0.032499774
n,2,1405.5,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.033353186
n,2,1405.5,Vicia cracca,ZDensityHymenopteraTOTAL,0.033353186
i,2,737.4,Cerastium sp#,ZDensityHymenopteraTOTAL,0.033590595
i,4,702.4,Potentilla erecta,ZDensityHymenopteraTOTAL,0.034158839
i,4,702.4,Potentilla sp#,ZDensityHymenopteraTOTAL,0.034158839
n,1,1390.3,Orchis ustulata,ZDensityHymenopteraTOTAL,0.03610798
i,5,684.5,Rumex sp#,ZDensityHymenopteraTOTAL,0.040543424
n,3,1407.7,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.041594454
n,5,1398.6,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.041686343
a,5,1001,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.043649062
a,2,984.9,Carlina acaulis,ZDensityHymenopteraTOTAL,0.047126956
n,3,1407.7,Allium carinatum,ZDensityHymenopteraTOTAL,0.048526863
n,3,1407.7,Gentiana sp#,ZDensityHymenopteraTOTAL,0.048526863
i,1,766.3,Rubus sp#,ZDensityHymenopteraTOTAL,0.048563797
n,2,1405.5,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.05002978
a,4,1002.8,Sedum sp# yellow,ZDensityHymenopteraTOTAL,0.050372925
a,4,1002.8,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.050372925
a,4,1002.8,Galium sp#,ZDensityHymenopteraTOTAL,0.050372925
