Meadow,Site,Elevation,Species1,Species2,Schoener
i,6,702.2,Trifolium repens,ZInsectDensity,0.012662287
i,1,766.3,Ligustrum vulgare,ZInsectDensity,0.014489754
i,1,766.3,Orchis ustulata,ZInsectDensity,0.014489754
i,1,766.3,Rosa sp#,ZInsectDensity,0.014489754
i,2,737.4,Cerastium sp#,ZInsectDensity,0.021541201
i,3,711.5,Rosa sp#,ZInsectDensity,0.024825336
i,7,648.5,Orchis ustulata,ZInsectDensity,0.025423729
i,7,648.5,Potentilla sp#,ZInsectDensity,0.025423729
a,6,981.9,Rosa sp#,ZInsectDensity,0.026490066
a,6,981.9,Veronica teucrium,ZInsectDensity,0.026490066
i,5,684.5,Rosa sp#,ZInsectDensity,0.026596755
a,5,1001,Hippocrepis comosa,ZInsectDensity,0.02979146
a,5,1001,Ligustrum vulgare,ZInsectDensity,0.02979146
a,5,1001,Polygala comosa,ZInsectDensity,0.02979146
a,3,949.8,Apiaceae sp#,ZInsectDensity,0.03021148
a,3,949.8,Ligustrum vulgare,ZInsectDensity,0.03021148
a,3,949.8,Veronica teucrium,ZInsectDensity,0.03021148
i,5,684.5,Geranium pusillum,ZInsectDensity,0.037995365
i,5,684.5,Leucanthemum vulgare,ZInsectDensity,0.037995365
a,4,1002.8,Cerastium sp#,ZInsectDensity,0.042142611
a,4,1002.8,Rosa sp#,ZInsectDensity,0.042142611
a,4,1002.8,Veronica sp#,ZInsectDensity,0.042142611
i,1,766.3,Rubus sp#,ZInsectDensity,0.046747818
a,5,1001,Peucedanum sp#,ZInsectDensity,0.049652433
n,1,1390.3,Orchis ustulata,ZInsectDensity,0.04995718
n,1,1390.3,Veronica teucrium,ZInsectDensity,0.054120278
i,3,711.5,Asperula cynanchica,ZInsectDensity,0.055857006
n,3,1407.7,Veronica officinalis,ZInsectDensity,0.057220708
n,3,1407.7,Veronica teucrium,ZInsectDensity,0.057220708
a,2,984.9,Plantago major,ZInsectDensity,0.059100546
a,2,984.9,Planthera bifolia,ZInsectDensity,0.059100546
a,2,984.9,Rubus sp#,ZInsectDensity,0.059100546
a,2,984.9,Trifolium repens,ZInsectDensity,0.059100546
a,2,984.9,Vincetoxicum hirundinaria,ZInsectDensity,0.059100546
i,5,684.5,Rumex sp#,ZInsectDensity,0.061704472
i,4,702.4,Chenopodium sp#,ZInsectDensity,0.062305296
i,4,702.4,Polygonum aviculare,ZInsectDensity,0.062305296
i,3,711.5,Chenopodium sp#,ZInsectDensity,0.063836578
n,1,1390.3,Peucedanum sp#,ZInsectDensity,0.064944333
i,5,684.5,Onobrychis vicifolia,ZInsectDensity,0.066491888
i,5,684.5,Taraxacum sp#,ZInsectDensity,0.066491888
n,5,1398.6,Solanum dulgamara,ZInsectDensity,0.067054206
n,2,1405.5,Apiaceae sp#,ZInsectDensity,0.069306931
n,2,1405.5,Silene dioica,ZInsectDensity,0.069306931
n,2,1405.5,Veronica teucrium,ZInsectDensity,0.069306931
a,4,1002.8,Centaurium sp#,ZInsectDensity,0.071221012
a,4,1002.8,Peucedanum sp#,ZInsectDensity,0.071221012
a,2,984.9,Hippocrepis comosa,ZInsectDensity,0.072234001
a,1,1020.6,Geranium sp#,ZInsectDensity,0.072677353
a,1,1020.6,Taraxacum sp#,ZInsectDensity,0.072677353
i,4,702.4,Geranium sp#,ZInsectDensity,0.072689512
i,4,702.4,Malva neglecta,ZInsectDensity,0.072689512
a,4,1002.8,Rubus sp#,ZInsectDensity,0.074400675
a,3,949.8,Taraxacum sp#,ZInsectDensity,0.075528701
a,4,1002.8,Anthyllis vulneraria,ZInsectDensity,0.078264848
i,3,711.5,Anthyllis vulneraria,ZInsectDensity,0.080682342
a,2,984.9,Clinopodium vulgare,ZInsectDensity,0.081263251
i,7,648.5,Chenopodium sp#,ZInsectDensity,0.084745763
i,7,648.5,Origanum vulgare,ZInsectDensity,0.084745763
i,7,648.5,Pastinaca sativa,ZInsectDensity,0.084745763
i,7,648.5,Polygonum aviculare,ZInsectDensity,0.084745763
i,7,648.5,Solanum dulgamara,ZInsectDensity,0.084745763
i,7,648.5,Trifolium repens,ZInsectDensity,0.084745763
a,5,1001,Trifolium campestre,ZInsectDensity,0.08490566
i,6,702.2,Hypericum sp#,ZInsectDensity,0.086333775
i,6,702.2,Sanguisorba minor,ZInsectDensity,0.086333775
i,6,702.2,Vicia sepium,ZInsectDensity,0.086333775
i,4,702.4,Potentilla erecta,ZInsectDensity,0.087227414
i,4,702.4,Potentilla sp#,ZInsectDensity,0.087227414
a,6,981.9,Rubus sp#,ZInsectDensity,0.087417219
a,6,981.9,Vicia sepium,ZInsectDensity,0.087417219
o,3,1612.7,Carlina acaulis,ZInsectDensity,0.088287666
o,3,1612.7,Centaurea sp#,ZInsectDensity,0.088287666
o,3,1612.7,Potentilla sp#,ZInsectDensity,0.088287666
i,3,711.5,Galium sp#,ZInsectDensity,0.08937121
i,3,711.5,Stachys recta,ZInsectDensity,0.08937121
o,4,1576.2,Campanula glomerata,ZInsectDensity,0.089758933
n,1,1390.3,Cirsium arvense,ZInsectDensity,0.092777619
n,1,1390.3,Teurium montanum,ZInsectDensity,0.092777619
i,5,684.5,Potentilla sp#,ZInsectDensity,0.093088643
i,1,766.3,Veronica teucrium,ZInsectDensity,0.093148416
n,4,1420,Hippocrepis comosa,ZInsectDensity,0.094302342
i,5,684.5,Apiaceae sp#,ZInsectDensity,0.095748319
i,1,766.3,Vicia sepium,ZInsectDensity,0.097823087
i,7,648.5,Arabis/Arabidopsis,ZInsectDensity,0.098305085
i,1,766.3,Geranium sp#,ZInsectDensity,0.098737321
i,1,766.3,Stachys officinalis,ZInsectDensity,0.098737321
i,6,702.2,Orchis ustulata,ZInsectDensity,0.098996062
n,2,1405.5,Crepis/Hieracium,ZInsectDensity,0.099009901
n,2,1405.5,Lathyrus pratensis,ZInsectDensity,0.099009901
n,2,1405.5,Peucedanum sp#,ZInsectDensity,0.099009901
o,3,1612.7,Orchis ustulata,ZInsectDensity,0.099323625
o,3,1612.7,Peucedanum sp#,ZInsectDensity,0.099323625
i,7,648.5,Hypericum sp#,ZInsectDensity,0.101694915
a,1,1020.6,Medicago minima,ZInsectDensity,0.101748294
i,6,702.2,Veronica teucrium,ZInsectDensity,0.10360053
i,7,648.5,Clinopodium vulgare,ZInsectDensity,0.104353606
i,2,737.4,Arabis/Arabidopsis,ZInsectDensity,0.104874534
o,4,1576.2,Arenaria/Linum ym#,ZInsectDensity,0.10771072
o,4,1576.2,Plantago major,ZInsectDensity,0.10771072
i,2,737.4,Silene vulgaris,ZInsectDensity,0.108050665
a,2,984.9,Buphthalmum salicifolium,ZInsectDensity,0.108351001
a,2,984.9,Carlina acaulis,ZInsectDensity,0.108351001
a,2,984.9,Cirsium acaule,ZInsectDensity,0.108351001
a,4,1002.8,Polygonum aviculare,ZInsectDensity,0.109570788
i,6,702.2,Potentilla erecta,ZInsectDensity,0.109649963
i,6,702.2,Galium sp#,ZInsectDensity,0.109816561
i,1,766.3,Odontites luteus,ZInsectDensity,0.1117781
i,1,766.3,Veronica chamaedris,ZInsectDensity,0.1117781
i,1,766.3,Viola sp#,ZInsectDensity,0.1117781
i,2,737.4,Taraxacum sp#,ZInsectDensity,0.112450292
a,4,1002.8,Arenaria/Linum ym#,ZInsectDensity,0.113363622
o,3,1612.7,Cerastium sp#,ZInsectDensity,0.113512714
o,3,1612.7,Melampyrum sylvaticum,ZInsectDensity,0.113512714
n,3,1407.7,Crepis/Hieracium,ZInsectDensity,0.114441417
a,6,981.9,Orchis ustulata,ZInsectDensity,0.117399157
a,3,949.8,Solanum dulgamara,ZInsectDensity,0.117824773
i,2,737.4,Chenopodium sp#,ZInsectDensity,0.118476606
i,2,737.4,Odontites luteus,ZInsectDensity,0.118476606
i,2,737.4,Pulsatilla sp#,ZInsectDensity,0.118476606
a,6,981.9,Anthericum ramosum,ZInsectDensity,0.119205298
o,4,1576.2,Asperula cynanchica,ZInsectDensity,0.119678578
o,4,1576.2,Cerastium sp#,ZInsectDensity,0.119678578
a,1,1020.6,Anthyllis vulneraria,ZInsectDensity,0.120402148
a,1,1020.6,Trifolium campestre,ZInsectDensity,0.120402148
a,3,949.8,Potentilla sp#,ZInsectDensity,0.120845921
u,2,1749.2,Rhinanthus minor,ZInsectDensity,0.121304544
n,5,1398.6,Taraxacum sp#,ZInsectDensity,0.121858124
i,1,766.3,Echium vulgare,ZInsectDensity,0.12295591
n,5,1398.6,Daucus carota,ZInsectDensity,0.123111521
n,5,1398.6,Valeriana,ZInsectDensity,0.123111521
n,4,1420,Carlina acaulis,ZInsectDensity,0.125736456
n,4,1420,Gentiana sp#,ZInsectDensity,0.125736456
n,4,1420,Geranium pusillum,ZInsectDensity,0.125736456
n,4,1420,Silene nutans,ZInsectDensity,0.125736456
n,4,1420,Viola sp#,ZInsectDensity,0.125736456
i,6,702.2,Allium carinatum,ZInsectDensity,0.126910649
i,7,648.5,Galium sp#,ZInsectDensity,0.127118644
i,7,648.5,Pulsatilla sp#,ZInsectDensity,0.127118644
a,1,1020.6,Conyza sp#,ZInsectDensity,0.127185368
a,1,1020.6,Galium sp#,ZInsectDensity,0.127185368
a,1,1020.6,Polygonum aviculare,ZInsectDensity,0.127185368
a,1,1020.6,Vicia sepium,ZInsectDensity,0.127185368
i,5,684.5,Orchis ustulata,ZInsectDensity,0.12819636
i,5,684.5,Verbena officinalis,ZInsectDensity,0.12819636
u,1,1745.8,Lamium album,ZInsectDensity,0.129254632
u,1,1745.8,Silene nutans,ZInsectDensity,0.129254632
i,6,702.2,Geranium sp#,ZInsectDensity,0.129500662
n,1,1390.3,Vicia cracca,ZInsectDensity,0.129888667
a,2,984.9,Lathyrus pratensis,ZInsectDensity,0.131334547
o,3,1612.7,Campanula glomerata,ZInsectDensity,0.1324315
i,5,684.5,Polygala vulgaris,ZInsectDensity,0.132983776
i,5,684.5,Spiranthes spiralis,ZInsectDensity,0.132983776
o,4,1576.2,Medicago sativa,ZInsectDensity,0.1346384
o,4,1576.2,Teurium montanum,ZInsectDensity,0.1346384
u,2,1749.2,Cuscuta europaeae,ZInsectDensity,0.136467612
u,2,1749.2,Trifolium campestre,ZInsectDensity,0.136467612
n,2,1405.5,Asperula cynanchica,ZInsectDensity,0.138613861
n,2,1405.5,Carlina acaulis,ZInsectDensity,0.138613861
n,2,1405.5,Daucus carota,ZInsectDensity,0.138613861
n,2,1405.5,Polygala alpestris,ZInsectDensity,0.138613861
n,2,1405.5,Teucrium chamaedris,ZInsectDensity,0.138613861
i,3,711.5,Lathyrus pratensis,ZInsectDensity,0.139021882
i,1,766.3,Allium carinatum,ZInsectDensity,0.139722625
o,4,1576.2,Centaurea sp#,ZInsectDensity,0.140023936
a,1,1020.6,Rosa sp#,ZInsectDensity,0.142548335
a,3,949.8,Teurium montanum,ZInsectDensity,0.143504532
i,2,737.4,Potentilla sp#,ZInsectDensity,0.145331304
i,4,702.4,Leucanthemum vulgare,ZInsectDensity,0.145379024
i,4,702.4,Odontites luteus,ZInsectDensity,0.145379024
i,4,702.4,Senecio sp#,ZInsectDensity,0.145379024
i,7,648.5,Vicia cracca,ZInsectDensity,0.147245763
a,4,1002.8,Crepis/Hieracium,ZInsectDensity,0.14948586
a,4,1002.8,Galium sp#,ZInsectDensity,0.14948586
a,4,1002.8,Sedum sp# yellow,ZInsectDensity,0.14948586
n,5,1398.6,Epilobium sp#,ZInsectDensity,0.150871963
n,5,1398.6,Orchis ustulata,ZInsectDensity,0.150871963
n,3,1407.7,Allium carinatum,ZInsectDensity,0.152588556
n,3,1407.7,Gentiana sp#,ZInsectDensity,0.152588556
i,2,737.4,Sanguisorba minor,ZInsectDensity,0.15350521
i,1,766.3,Potentilla erecta,ZInsectDensity,0.154212378
i,5,684.5,Geranium sp#,ZInsectDensity,0.154793115
u,2,1749.2,Phyteuma orbiculare,ZInsectDensity,0.155962985
n,1,1390.3,Crepis sp# 2,ZInsectDensity,0.157721953
a,1,1020.6,Lotus maritimus,ZInsectDensity,0.158275124
a,6,981.9,Clinopodium vulgare,ZInsectDensity,0.158940397
n,5,1398.6,Allium carinatum,ZInsectDensity,0.15992428
a,2,984.9,Arenaria/Linum ym#,ZInsectDensity,0.160237295
o,3,1612.7,Teucrium chamaedris,ZInsectDensity,0.16052303
n,1,1390.3,Crepis/Hieracium,ZInsectDensity,0.162360834
a,2,984.9,Carum carvi,ZInsectDensity,0.162526501
n,4,1420,Buphthalmum salicifolium,ZInsectDensity,0.162954447
a,1,1020.6,Cerastium sp#,ZInsectDensity,0.163586444
a,2,984.9,Teurium montanum,ZInsectDensity,0.165106287
i,4,702.4,Prunella sp#,ZInsectDensity,0.165926153
i,6,702.2,Cerastium sp#,ZInsectDensity,0.169173772
i,7,648.5,Viola sp#,ZInsectDensity,0.169491525
i,6,702.2,Euphorbia cyparissias,ZInsectDensity,0.172174213
i,6,702.2,Polygonum aviculare,ZInsectDensity,0.172667549
i,6,702.2,Stachys recta,ZInsectDensity,0.172667549
n,2,1405.5,Polygonum aviculare,ZInsectDensity,0.173267327
n,2,1405.5,Silene nutans,ZInsectDensity,0.173267327
n,2,1405.5,Vicia cracca,ZInsectDensity,0.173267327
a,1,1020.6,Lathyrus pratensis,ZInsectDensity,0.174425647
a,1,1020.6,Orchis ustulata,ZInsectDensity,0.174425647
a,5,1001,Rubus sp#,ZInsectDensity,0.175597739
o,4,1576.2,Veronica officinalis,ZInsectDensity,0.176282351
o,3,1612.7,Viola sp#,ZInsectDensity,0.176575333
i,1,766.3,Sanguisorba minor,ZInsectDensity,0.176759662
a,3,949.8,Rosa sp#,ZInsectDensity,0.179147651
i,5,684.5,Trifolium campestre,ZInsectDensity,0.179351531
u,1,1745.8,Phyteuma orbiculare,ZInsectDensity,0.180956484
u,1,1745.8,Plantago major,ZInsectDensity,0.180956484
i,3,711.5,Geranium pusillum,ZInsectDensity,0.182500143
a,4,1002.8,Geranium sp#,ZInsectDensity,0.182617979
a,4,1002.8,Melampyrum sylvaticum,ZInsectDensity,0.182617979
i,6,702.2,Hippocrepis comosa,ZInsectDensity,0.18507608
a,2,984.9,Polygala vulgaris,ZInsectDensity,0.185280212
a,5,1001,Teurium montanum,ZInsectDensity,0.185446969
i,7,648.5,Cirsium arvense,ZInsectDensity,0.186440678
i,7,648.5,Silene vulgaris,ZInsectDensity,0.186440678
a,4,1002.8,Polygala comosa,ZInsectDensity,0.187835636
n,4,1420,Epilobium sp#,ZInsectDensity,0.188604685
a,3,949.8,Orchis ustulata,ZInsectDensity,0.193353474
i,3,711.5,Cuscuta europaeae,ZInsectDensity,0.194271361
i,4,702.4,Dianthus sp#,ZInsectDensity,0.196261682
n,1,1390.3,Leucanthemum vulgare,ZInsectDensity,0.196855077
i,3,711.5,Silene vulgaris,ZInsectDensity,0.197845411
i,5,684.5,Crepis sp#,ZInsectDensity,0.200235571
n,4,1420,Solanum dulgamara,ZInsectDensity,0.202076448
n,4,1420,Veronica officinalis,ZInsectDensity,0.202076448
a,2,984.9,Sanguisorba minor,ZInsectDensity,0.202763118
i,1,766.3,Euphorbia cyparissias,ZInsectDensity,0.204926516
n,1,1390.3,Apiaceae sp#,ZInsectDensity,0.207679132
o,4,1576.2,Crepis/Hieracium,ZInsectDensity,0.209437511
o,4,1576.2,Leucanthemum vulgare,ZInsectDensity,0.209437511
o,4,1576.2,Taraxacum sp#,ZInsectDensity,0.209437511
n,3,1407.7,Apiaceae sp#,ZInsectDensity,0.209809264
n,3,1407.7,Asperula cynanchica,ZInsectDensity,0.209809264
i,1,766.3,Cerastium sp#,ZInsectDensity,0.210515421
a,3,949.8,Carum carvi,ZInsectDensity,0.210634441
i,6,702.2,Acinos alpinus,ZInsectDensity,0.213244423
i,3,711.5,Leucanthemum vulgare,ZInsectDensity,0.215520872
n,2,1405.5,Hieracium pilosella,ZInsectDensity,0.215648394
i,5,684.5,Arabis/Arabidopsis,ZInsectDensity,0.215895661
n,1,1390.3,Campanula glomerata,ZInsectDensity,0.216481111
n,1,1390.3,Teucrium chamaedris,ZInsectDensity,0.216481111
n,1,1390.3,Rubus sp#,ZInsectDensity,0.219657876
i,1,766.3,Galium sp#,ZInsectDensity,0.221693231
a,5,1001,Potentilla sp#,ZInsectDensity,0.222503451
a,2,984.9,Campanula sp#,ZInsectDensity,0.222893488
a,2,984.9,Hypericum sp#,ZInsectDensity,0.222893488
i,3,711.5,Veronica chamaedris,ZInsectDensity,0.224825336
